건물명,층수,시설이름
1호관,1층,강의실
1호관,1층,입시지원팀
1호관,1층,웰컴라운지
1호관,1층,웰컴갤러리
1호관,2층,강의실
1호관,2층,유학생지원실
1호관,2층,국제교류센터
1호관,2층,hive센터
1호관,3층,강의실
1호관,3층,예비군연대
1호관,3층,교양과사무실
1호관,3층,전산실습실
1호관,4층,"학생서비스센터(휴/복학,수업,장학)"
1호관,4층,취업지원센터
1호관,4층,현장실습지원센터
1호관,4층,공학기술교육혁신센터
1호관,4층,"KB국민ATM,증명서발급기"
1호관,5층,사무처
1호관,5층,소강당
1호관,6층,산학협력단
1호관,6층,기획혁신처
1호관,6층,기획혁신처장실
1호관,7층,교무입학처
1호관,7층,교무입학처장실
1호관,7층,감사장
1호관,8층,총장실
1호관,8층,학생처장실
1호관,8층,사무처장실
1호관,8층,종합회의실
1호관,8층,부속실
1호관,9층,법인사무국
2호관,B2층,강의실
2호관,B1층,강의실
2호관,1층,전산실습실
2호관,1층,칵테일 실습실
2호관,2층,전산실습실
2호관,2층,강의실
2호관,3층,경영학부사무실
2호관,3층,스마트강의실
2호관,4층,교수연구실
2호관,4층,교수학습지원센터
2호관,4층,스튜디오실
2호관,5층,교수연구실
2호관,6층,교수연구실
2호관,7층,교수연구실
3호관,1층,총학생회
3호관,1층,대의원회
3호관,1층,보건실
3호관,1층,학생상담센터
3호관,1층,장애학생지원실
3호관,1층,여학생휴게실
3호관,1층,부트캠프클린룸
3호관,1층,P-tech 사무실
3호관,1층,전산실습실
3호관,2층,컴퓨터공학부사무실
3호관,2층,전산실습실
3호관,3층,전산실습실
3호관,3층,PD LAB
3호관,4층,전기전자통신공학부사무실
3호관,4층,실험실습실
3호관,4층,전산실습실
3호관,5층,실험실습실
3호관,5층,강의실
3호관,5층,전산실습실
4호관,B1층,실험실습실
4호관,1층,실험실습실
4호관,2층,기계공학부사무실
4호관,2층,로봇자동화공학부사무실
4호관,2층,부트캠프사업단
4호관,2층,실험실습실
4호관,3층,생명화학공학과사무실
4호관,3층,바이오융합공학과사무실
4호관,3층,실험실습실
4호관,3층,전산실습실
4호관,4층,전산실습실
4호관,5층,실험실습실
4호관,5층,전산실습실
4호관,6층,C.I Lab(취미동아리)
5호관,B1층,스마트융합제작 실습실
5호관,1층,튜터링카페
5호관,1층,실습실
5호관,1층,PD LAB Star
5호관,2층,실험실습실
5호관,3층,DM Lab
6호관,B3층,휘트니스센터
6호관,B3층,다목적실습실
6호관,B2층,동창회사무실
6호관,B2층,실험실습실
6호관,B2층,공동장비운영센터
6호관,B1층,DM Gaallery
6호관,B1층,강의실
6호관,1층,갤러리
6호관,1층,강의실
6호관,1층,실험실습실
6호관,1층,전산실습실
6호관,2층,강의실
6호관,2층,체력측정실
6호관,2층,원격강의공용실습실
6호관,3층,강의실
6호관,3층,실험실습실
6호관,3층,전산실습실
6호관,4층,강의실
6호관,4층,실험실습실
6호관,4층,촬영스튜디오
6호관,4층,전산실습실
6호관,5층,교수연구실
7호관,1층,전산실습실
7호관,1층,실험실습실
7호관,1층,강의실
7호관,2층,동아리실
7호관,2층,강의실
7호관,2층,실험실습실
7호관,3층,생활환경공학부사무실
7호관,3층,교수연구실
7호관,4층,강의실
7호관,4층,설계실
7호관,4층,동아리실
7호관,4층,실험실습실
7호관,5층,실험실습실
7호관,5층,통합설계실
7호관,5층,전산실습실
8호관,B1층,주차장
8호관,1층,대강당
8호관,1층,CU
8호관,1층,써브웨이
8호관,1층,KB금융은행
8호관,1층,여행사(GHRC)
8호관,1층,유료사물함
8호관,1층,글로세움(서점)
8호관,2층,모닝글로리(문구점)
8호관,2층,제주몰빵(카페)
8호관,3층,식당
8호관,3층,강의실
8호관,3층,XR스튜디오
8호관,3층,전산실습실
도서관,1층,D-Study
도서관,1층,D-Culture
도서관,1층,그룹스터디룸
도서관,1층,디자인홍보센터
도서관,1층,홍보대사단실
도서관,1층,동양학보기자단실
도서관,2층,어문학자료실
도서관,2층,그룹스터디룸
도서관,3층,과학기술자료실
도서관,3층,그룹스터디룸
도서관,4층,도서관 사무실
도서관,4층,톡톡마루
도서관,4층,너나마루
도서관,4층,온빛마루
도서관,4층,그룹스터디룸
도서관,4층,대출실
도서관,5층,중앙전산소
도서관,5층,별별마루
도서관,5층,열린마루
도서관,5층,그룹스터디룸
도서관,6층,인문사회자료실
